Título,Descrição,Preço,Local,Ano,KM Rodado
Renault Duster,Duster 1.6 16V Dynamique (Flex) manual,"R$ 44.900,00","Guarulhos, SP",2012/2013,155.000 Km
Chevrolet Cobalt,Cobalt LTZ 1.4 8V (Flex) manual,"R$ 44.900,00","Hortolândia, SP",2013/2013,181.481 Km
Volkswagen SpaceFox,SpaceFox 1.6 8V (Flex) manual,"R$ 44.900,00","Curitiba, PR",2013/2013,108.800 Km
Volkswagen Polo,Polo Hatch 1.6 VHT Total Flex manual,"R$ 44.900,00","São Paulo, SP",2012/2013,143.000 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 44.900,00","São José, SC",2012/2013,85.000 Km
Fiat 500,500 Cult 1.4 8V manual,"R$ 44.900,00","Serra, ES",2013/2013,78.000 Km
Fiat 500,500 Cult Dualogic 1.4 8V automático,"R$ 44.900,00","São Luís, MA",2012/2013,94.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.900,00","Cianorte, PR",2013/2013,300 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 44.900,00","Rio de Janeiro, RJ",2013/2013,98.000 Km
Chevrolet Onix,Onix 1.4 LT SPE/4 manual,"R$ 44.900,00","Franca, SP",2013/2013,130.000 Km
Volkswagen Saveiro,Saveiro 1.6 (Flex) manual,"R$ 44.900,00","Curitiba, PR",2012/2012,220.000 Km
Fiat 500,500 Cult Dualogic 1.4 8V automático,"R$ 44.900,00","Mogi Guaçu, SP",2011/2012,72.000 Km
Ford EcoSport,Ecosport XLT Freestyle 1.6 (Flex) manual,"R$ 44.900,00","Mogi das Cruzes, SP",2011/2012,119.000 Km
Volkswagen Saveiro,Saveiro Trooper 1.6 (Flex) (cab. estendida) manual,"R$ 44.900,00","Ribeirão Preto, SP",2012/2012,219.000 Km
Fiat 500,500 Cult Dualogic 1.4 8V automático,"R$ 44.900,00","Piracicaba, SP",2012/2012,140.000 Km
Hyundai i30,i30 GLS 2.0 16V (aut) automático,"R$ 44.900,00","São Paulo, SP",2011/2012,130.914 Km
Volkswagen Saveiro,Saveiro 1.6 (Flex) (cab. estendida) manual,"R$ 44.900,00","Ijuí, RS",2012/2012,134.000 Km
Honda Fit,New Fit LX 1.4 (flex) manual,"R$ 44.900,00","São Carlos, SP",2011/2012,112.000 Km
Ford EcoSport,Ecosport XLT Freestyle 1.6 (Flex) manual,"R$ 44.900,00","Mogi Guaçu, SP",2011/2012,137.033 Km
Fiat Strada,Strada Working 1.4 (Flex) (Cabine Estendida) manual,"R$ 44.900,00","São Paulo, SP",2012/2012,190.000 Km
Ford EcoSport,Ecosport XLT 2.0 16V (Flex) (Aut) automático,"R$ 44.900,00","São José do Rio Preto, SP",2011/2012,178.141 Km
Fiat 500,500 Cult Dualogic 1.4 8V automático,"R$ 44.900,00","Cabreúva, SP",2012/2012,99.509 Km
Hyundai i30,i30 GLS 2.0 16V manual,"R$ 44.900,00","Recanto das Emas, DF",2011/2012,132.437 Km
