Título,Descrição,Preço,Local,Ano,KM Rodado
Fiat Palio Weekend,Palio Weekend ELX 1.4 8V (Flex) manual,"R$ 30.900,00","Suzano, SP",2009/2010,172.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 30.900,00","Suzano, SP",2009/2010,121.000 Km
Fiat Palio,Palio ELX 1.0 (Flex) 4p manual,"R$ 30.900,00","Erechim, RS",2010/2010,121.000 Km
Volkswagen SpaceFox,SpaceFox Sportline 1.6 8V (Flex) manual,"R$ 30.900,00","Resende, RJ",2009/2010,145.000 Km
Citroën C3,C3 Exclusive 1.6 16V (flex) (aut) automático,"R$ 30.900,00","Praia Grande, SP",2009/2010,117.282 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 30.900,00","Itatiba, SP",2010/2010,140.800 Km
Volkswagen Voyage,Voyage Trend 1.6 (Flex) manual,"R$ 30.900,00","Londrina, PR",2009/2009,144.000 Km
Fiat Fiorino,Fiorino Furgão 1.3 (Flex) manual,"R$ 30.900,00","Taubaté, SP",2008/2009,153.135 Km
Chevrolet Astra Hatch,Astra Hatch Advantage 2.0 (Flex) manual,"R$ 30.900,00","São Paulo, SP",2008/2009,198.000 Km
Volkswagen Fox,Fox Route 1.6 8V (Flex) 4p manual,"R$ 30.900,00","Catanduva, SP",2008/2008,161.478 Km
Honda Fit,Fit EX 1.5 16V manual,"R$ 30.900,00","Ribeirão Preto, SP",2006/2007,194.000 Km
Nissan Livina,Livina SL 1.8 16V aut. (flex) automático,"R$ 30.980,00","Campinas, SP",2010/2010,185.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 2p manual,"R$ 30.990,00","Brasília, DF",2015/2015,78.835 Km
Volkswagen Gol,Gol 1.0 TEC City (Flex) 2p manual,"R$ 30.990,00","Hortolândia, SP",2013/2014,60.000 Km
Renault Logan,Logan Authentique 1.0 16V (flex) manual,"R$ 30.990,00","São Paulo, SP",2013/2014,82.238 Km
Nissan Tiida,Tiida S 1.8 (flex) manual,"R$ 30.990,00","Guarulhos, SP",2011/2012,149.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 30.990,00","São Paulo, SP",2011/2012,207.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 30.990,00","Porto Alegre, RS",2011/2012,138.708 Km
Citroën C4 Pallas,C4 Pallas GLX 2.0 16V (flex) (aut) automático,"R$ 30.990,00","Valinhos, SP",2011/2012,178.000 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 30.990,00","Mogi das Cruzes, SP",2011/2012,149.580 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 30.990,00","Sorocaba, SP",2010/2011,170.000 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 30.990,00","Ji-Paraná, RO",2011/2011,98.000 Km
Citroën C4,C4 Exclusive 2.0 (flex) automático,"R$ 30.990,00","Porto Alegre, RS",2010/2011,124.869 Km
Citroën C4,C4 Exclusive 2.0 (flex) automático,"R$ 30.990,00","Gravataí, RS",2010/2011,124.869 Km
Citroën C4,C4 Exclusive 2.0 (flex) automático,"R$ 30.990,00","Porto Alegre, RS",2010/2011,124.869 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 30.990,00","Curitiba, PR",2010/2011,166.500 Km
Citroën C4,C4 Exclusive 2.0 (flex) automático,"R$ 30.990,00","São Leopoldo, RS",2010/2011,124.869 Km
Citroën C4,C4 Exclusive 2.0 (flex) automático,"R$ 30.990,00","Porto Alegre, RS",2010/2011,124.869 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 30.990,00","São Paulo, SP",2010/2011,133.000 Km
Chevrolet Corsa Hatch,Corsa Hatch Premium 1.4 (Flex) manual,"R$ 30.990,00","São Paulo, SP",2009/2010,180.400 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 30.990,00","Curitiba, PR",2009/2010,138.998 Km
Chevrolet Vectra,Vectra Expression 2.0 (Flex) manual,"R$ 30.990,00","São Paulo, SP",2007/2008,124.410 Km
Volkswagen Polo,Polo Hatch. 1.6 8V (Flex) manual,"R$ 30.990,00","Campinas, SP",2008/2008,179.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.000,00","Guarulhos, SP",2013/2013,131.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 31.000,00","São José do Rio Preto, SP",2012/2013,207.398 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 31.000,00","Curitiba, PR",2011/2012,134.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 31.000,00","Rondonópolis, MT",2010/2011,130.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 31.000,00","Bauru, SP",2011/2011,128.832 Km
Kia Picanto,Picanto EX 1.0 manual,"R$ 31.000,00","São Paulo, SP",2010/2011,164.126 Km
Fiat Punto,Punto 1.4 (Flex) manual,"R$ 31.000,00","Leme, SP",2010/2010,131.000 Km
Ford EcoSport,Ecosport XLT 1.6 (Flex) manual,"R$ 31.000,00","Natal, RN",2008/2008,179.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.089,00","São Paulo, SP",2011/2012,127.000 Km
Peugeot 208,208 1.5 8V Active (Flex) manual,"R$ 31.099,00","Rio de Janeiro, RJ",2012/2013,60.769 Km
Chevrolet Vectra GT,Vectra GT 2.0 8V (Flex) manual,"R$ 31.490,00","São Paulo, SP",2008/2009,108.651 Km
Renault Logan,Logan Authentique 1.0 16V (flex) manual,"R$ 31.499,00","Rio de Janeiro, RJ",2013/2014,63.975 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 31.500,00","Lençóis Paulista, SP",2012/2013,110.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.500,00","Boa Vista, RR",2012/2013,120.000 Km
Renault Sandero Stepway,Sandero Stepway 1.6 16V (Flex) manual,"R$ 31.500,00","Curitiba, PR",2010/2011,121.518 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 31.500,00","Guarulhos, SP",2010/2011,156.239 Km
Fiat Palio,Palio Attractive 1.0 8V (Flex) manual,"R$ 31.590,00","São José do Rio Preto, SP",2012/2013,170.000 Km
Fiat Grand Siena,Grand Siena Attractive 1.4 8V (Flex) manual,"R$ 31.599,00","Rio de Janeiro, RJ",2012/2013,84.125 Km
Ford Fiesta Hatch,Fiesta Hatch SE 1.0 RoCam (Flex) manual,"R$ 31.699,00","Rio de Janeiro, RJ",2014/2014,104.785 Km
Fiat Grand Siena,Grand Siena Attractive 1.4 8V (Flex) manual,"R$ 31.699,00","Rio de Janeiro, RJ",2012/2013,83.215 Km
Honda Fit,New Fit LX 1.4 (flex) manual,"R$ 31.699,00","Rio de Janeiro, RJ",2009/2009,120.985 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 31.700,00","Osasco, SP",2012/2012,105.354 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 31.700,00","Osasco, SP",2009/2010,119.000 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 31.700,00","Osasco, SP",2006/2006,133.000 Km
Renault Logan,Logan Authentique 1.0 16V (flex) manual,"R$ 31.799,00","Rio de Janeiro, RJ",2015/2015,57.468 Km
Renault Sandero Stepway,Sandero Stepway 1.6 16V (Flex) manual,"R$ 31.799,00","Rio de Janeiro, RJ",2011/2012,68.945 Km
Peugeot 207 Sedan,207 Sedan Active 1.4 (Flex) manual,"R$ 31.800,00","Curitiba, PR",2014/2015,63.647 Km
Peugeot 207,207 Hatch Active 1.4 (Flex) manual,"R$ 31.800,00","Joinville, SC",2013/2014,56.000 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 31.800,00","Santo André, SP",2011/2012,139.212 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 31.800,00","Pompéia, SP",2011/2012,121.288 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 31.800,00","Contagem, MG",2011/2012,162.740 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 Rocam (Flex) manual,"R$ 31.800,00","São Bernardo do Campo, SP",2011/2012,153.031 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex) manual,"R$ 31.800,00","São Bernardo do Campo, SP",2011/2012,133.908 Km
Renault Megane Grand Tour,Mégane Grand Tour Dynamique 1.6 16V (flex) manual,"R$ 31.800,00","Brasília, DF",2011/2011,169.000 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 31.800,00","Goiânia, GO",2010/2011,89.462 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 31.870,00","Osasco, SP",2010/2011,159.275 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.890,00","São Paulo, SP",2013/2014,136.000 Km
Chevrolet Agile,Agile LT 1.4 8V (Flex) manual,"R$ 31.890,00","São Paulo, SP",2013/2013,104.879 Km
Volkswagen Gol,Gol Power 1.6 I-Motion (G5) (Flex) automático,"R$ 31.890,00","Belo Horizonte, MG",2010/2011,130.000 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 31.890,00","São Paulo, SP",2011/2011,110.000 Km
Volkswagen Fox,Fox 1.6 8V (Flex) manual,"R$ 31.890,00","São Paulo, SP",2011/2011,118.589 Km
Volkswagen Kombi,Kombi Standard 1.4 (Flex) manual,"R$ 31.890,00","São Paulo, SP",2007/2008,236.000 Km
Renault Sandero,Sandero Authentique 1.0 16V (Flex) manual,"R$ 31.899,00","Rio de Janeiro, RJ",2014/2015,50.480 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 31.900,00","Curitiba, PR",2015/2016,300 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Rio de Janeiro, RJ",2015/2016,73.774 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 31.900,00","São João de Meriti, RJ",2015/2016,100 Km
Volkswagen Gol,Gol 1.0 TEC City (Flex) 2p manual,"R$ 31.900,00","São Paulo, SP",2014/2015,126.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","São Paulo, SP",2015/2015,79.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Duque de Caxias, RJ",2013/2014,95.200 Km
Volkswagen Gol,Gol 1.0 TEC City (Flex) 2p manual,"R$ 31.900,00","Sorocaba, SP",2013/2014,112.550 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Jundiaí, SP",2014/2014,97.737 Km
Ford Fiesta Sedan,Fiesta Sedan S 1.0 Rocam (Flex) manual,"R$ 31.900,00","Suzano, SP",2013/2014,N/D
Volkswagen Gol,Gol 1.0 TEC City (Flex) 2p manual,"R$ 31.900,00","Avaré, SP",2013/2014,155.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Mogi Guaçu, SP",2013/2014,165.300 Km
Ford Fiesta Hatch,Fiesta Hatch S Rocam 1.0 (Flex) manual,"R$ 31.900,00","Campinas, SP",2014/2014,120.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Natal, RN",2013/2014,152.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 31.900,00","Belém, PA",2013/2014,55.356 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Cuiabá, MT",2012/2013,112.132 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)4p manual,"R$ 31.900,00","Petrópolis, RJ",2013/2013,86.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Ribeirão Pires, SP",2012/2013,136.234 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Fortaleza, CE",2012/2013,105.436 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 31.900,00","São José do Rio Preto, SP",2012/2013,133.077 Km
Nissan Livina,Livina S 1.6 16V (flex) manual,"R$ 31.900,00","Joinville, SC",2012/2013,190.000 Km
Volkswagen Gol,Novo Gol 1.0 TEC (Flex) 4p manual,"R$ 31.900,00","Curitiba, PR",2012/2013,156.589 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Belo Horizonte, MG",2012/2013,141.000 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 31.900,00","Florianópolis, SC",2013/2013,179.431 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Manaus, AM",2012/2013,88.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Goiânia, GO",2013/2013,160.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 31.900,00","Curitiba, PR",2012/2013,100.957 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 Rocam (Flex) manual,"R$ 31.900,00","Cascavel, PR",2013/2013,152.000 Km
Volkswagen Parati,Parati 1.6 G4 (Flex) manual,"R$ 31.900,00","Cuiabá, MT",2011/2012,109.427 Km
Chevrolet Prisma,Prisma 1.4 8V LT (Flex) manual,"R$ 31.900,00","Ponta Grossa, PR",2012/2012,N/D
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Belo Horizonte, MG",2011/2012,100.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 31.900,00","Diadema, SP",2012/2012,108.010 Km
Chevrolet Prisma,Prisma 1.4 8V LT (Flex) manual,"R$ 31.900,00","Chapecó, SC",2011/2012,81.000 Km
Volkswagen Fox,Fox 1.0 VHT (Flex) 4p manual,"R$ 31.900,00","São Paulo, SP",2011/2012,119.624 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 31.900,00","Contagem, MG",2012/2012,95.281 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Joinville, SC",2011/2012,118.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Joinville, SC",2011/2012,117.000 Km
Citroën C3 Picasso,C3 Picasso Exclusive 1.6 16V (Flex) manual,"R$ 31.900,00","João Pessoa, PB",2011/2012,148.077 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 31.900,00","Salto Grande, SP",2011/2012,207.100 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 31.900,00","Serra, ES",2012/2012,89.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Sorocaba, SP",2011/2012,136.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 Rocam (Flex) manual,"R$ 31.900,00","São José dos Campos, SP",2012/2012,204.823 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 2p manual,"R$ 31.900,00","Franca, SP",2011/2012,120.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 31.900,00","São João de Meriti, RJ",2011/2012,150.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Fortaleza, CE",2012/2012,95.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 Rocam (Flex) manual,"R$ 31.900,00","Bauru, SP",2011/2012,156.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Vinhedo, SP",2011/2012,60.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Blumenau, SC",2011/2012,186.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 31.900,00","Londrina, PR",2011/2012,111.111 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Belo Horizonte, MG",2012/2012,120.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Santo André, SP",2011/2012,92.941 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 31.900,00","Londrina, PR",2011/2012,123.456 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) automático,"R$ 31.900,00","Palhoça, SC",2011/2012,149.800 Km
Citroën C3 Picasso,C3 Picasso GLX BVA 1.6 16V (Flex) (Aut) automático,"R$ 31.900,00","Joinville, SC",2011/2012,118.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.900,00","Belo Horizonte, MG",2011/2012,69.000 Km
Fiat Uno,Uno Vivace 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Bauru, SP",2012/2012,136.000 Km
Citroën C4 Pallas,C4 Pallas GLX 2.0 16V (flex) (aut) automático,"R$ 31.900,00","São José dos Campos, SP",2011/2012,91.000 Km
Fiat Siena,Siena EL 1.4 8V (Flex) manual,"R$ 31.900,00","São Paulo, SP",2012/2012,196.872 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 31.900,00","Anápolis, GO",2011/2012,83.405 Km
Chevrolet Agile,Agile LT 1.4 8V (Flex) manual,"R$ 31.900,00","Diadema, SP",2010/2011,120.019 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 31.900,00","Jundiaí, SP",2010/2011,160.308 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 31.900,00","Itaperuçu, PR",2011/2011,118.000 Km
Renault Sandero,Sandero Privilège 1.6 8V Hi-Torque (flex) manual,"R$ 31.900,00","Belo Horizonte, MG",2010/2011,187.683 Km
Fiat Idea,Idea Attractive 1.4 8V (Flex) manual,"R$ 31.900,00","Joinville, SC",2010/2011,173.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 31.900,00","Monte Aprazível, SP",2010/2011,105.600 Km
Chevrolet Meriva,Meriva Premium 1.8 (Flex) (easytronic) automático,"R$ 31.900,00","Suzano, SP",2010/2011,135.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 31.900,00","Goiânia, GO",2010/2011,101.910 Km
Renault Megane Grand Tour,Mégane Grand Tour Dynamique 1.6 16V (flex) manual,"R$ 31.900,00","Curitiba, PR",2011/2011,117.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 31.900,00","Brasília, DF",2010/2011,169.234 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Indaiatuba, SP",2010/2011,150.000 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 31.900,00","Blumenau, SC",2011/2011,200.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 31.900,00","São Paulo, SP",2011/2011,200.792 Km
Volkswagen Fox,Fox 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Santo André, SP",2010/2011,178.052 Km
Renault Sandero,Sandero Privilège 1.6 8V Hi-Torque (flex) manual,"R$ 31.900,00","Belo Horizonte, MG",2010/2011,187.683 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 4p manual,"R$ 31.900,00","São Paulo, SP",2010/2011,104.000 Km
Fiat Palio,Palio ELX Dualogic 1.8 (Flex) automático,"R$ 31.900,00","Jacareí, SP",2010/2010,130.000 Km
Citroën C4 Pallas,C4 Pallas Exclusive 2.0 16V (flex) (aut) automático,"R$ 31.900,00","Londrina, PR",2009/2010,119.249 Km
Fiat Palio Weekend,Palio Weekend ELX 1.4 8V (Flex) manual,"R$ 31.900,00","Viamão, RS",2010/2010,110.255 Km
Volkswagen Fox,Fox Black 1.0 8V (Flex) 4p manual,"R$ 31.900,00","Osasco, SP",2009/2010,170.132 Km
Chevrolet Meriva,Meriva Premium 1.8 (Flex) (easytronic) automático,"R$ 31.900,00","Jacareí, SP",2009/2010,155.000 Km
Fiat Palio,Palio ELX 1.4 (Flex) manual,"R$ 31.900,00","Araras, SP",2009/2010,190.000 Km
Volkswagen Fox,Fox 1.6 8V (Flex) manual,"R$ 31.900,00","São Paulo, SP",2009/2010,131.000 Km
Nissan Sentra,Sentra 2.0 16V (flex) manual,"R$ 31.900,00","Curitiba, PR",2009/2010,1.000 Km
Volkswagen Gol,Gol 1.6 (G5) (Flex) manual,"R$ 31.900,00","Botucatu, SP",2010/2010,100 Km
Volkswagen SpaceFox,SpaceFox Trend 1.6 8V (Flex) manual,"R$ 31.900,00","Curitiba, PR",2009/2010,103.250 Km
Fiat Palio,Palio ELX 1.4 (Flex) manual,"R$ 31.900,00","Carapicuíba, SP",2009/2010,114.000 Km
Volkswagen SpaceFox,SpaceFox Sportline 1.6 8V (Flex) manual,"R$ 31.900,00","Osasco, SP",2008/2009,128.000 Km
Ford EcoSport,Ecosport XLS 1.6 (Flex) manual,"R$ 31.900,00","Campinas, SP",2009/2009,97.000 Km
Volkswagen SpaceFox,SpaceFox 1.6 8V (Flex) manual,"R$ 31.900,00","Sumaré, SP",2008/2009,192.000 Km
Ford Focus Sedan,Focus Sedan GLX 2.0 16V Duratec (Aut) automático,"R$ 31.900,00","Cotia, SP",2009/2009,136.977 Km
Volkswagen Voyage,Voyage Trend 1.6 (Flex) manual,"R$ 31.900,00","Diadema, SP",2009/2009,173.000 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 31.900,00","Catanduva, SP",2007/2008,123.075 Km
Volkswagen Polo Sedan,Polo Sedan 1.6 8V (Flex) manual,"R$ 31.900,00","São Paulo, SP",2008/2008,175.000 Km
Chevrolet Montana,Montana Conquest 1.4 (Flex) manual,"R$ 31.900,00","Uberlândia, MG",2007/2008,123.459 Km
Volkswagen SpaceFox,SpaceFox Comfortline 1.6 8V (Flex) manual,"R$ 31.900,00","Leme, SP",2007/2008,179.000 Km
Ford EcoSport,Ecosport XLT 2.0 16V manual,"R$ 31.900,00","Porto Belo, SC",2006/2007,200.000 Km
Volkswagen Polo,Polo Hatch. 1.6 8V (Flex) manual,"R$ 31.900,00","Mogi das Cruzes, SP",2007/2007,219.965 Km
Chevrolet Meriva,Meriva Premium 1.8 (Flex) (easytronic) automático,"R$ 31.903,00","Jacareí, SP",2009/2010,213.004 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 31.920,00","Nova Iguaçu, RJ",2013/2014,50.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 31.920,00","São João de Meriti, RJ",2013/2014,50.000 Km
Chevrolet Vectra,Vectra Elegance 2.0 (Flex) (Aut) automático,"R$ 31.980,00","São Paulo, SP",2008/2008,184.576 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 31.990,00","Santo André, SP",2016/2016,128.000 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 31.990,00","São José dos Campos, SP",2014/2015,47.041 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 31.990,00","Campinas, SP",2014/2015,103.000 Km
Ford Fiesta Hatch,Fiesta Hatch SE 1.0 RoCam (Flex) manual,"R$ 31.990,00","Canoas, RS",2013/2014,94.000 Km
Ford Fiesta Hatch,Fiesta Hatch S Rocam 1.0 (Flex) manual,"R$ 31.990,00","São Paulo, SP",2013/2014,94.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 31.990,00","Ibitinga, SP",2013/2014,129.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 31.990,00","Campinas, SP",2013/2014,87.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 31.990,00","São Paulo, SP",2013/2014,77.000 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 31.990,00","São Paulo, SP",2012/2013,122.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 Rocam (Flex) manual,"R$ 31.990,00","Campinas, SP",2013/2013,186.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 Rocam (Flex) manual,"R$ 31.990,00","Juazeiro do Norte, CE",2013/2013,122.000 Km
Fiat Punto,Punto Attractive 1.4 (Flex) manual,"R$ 31.990,00","São João de Meriti, RJ",2012/2013,112.565 Km
Ford Fiesta Hatch,Fiesta Hatch Rocam 1.6 (Flex) manual,"R$ 31.990,00","São Luís, MA",2013/2013,78.000 Km
Fiat Palio,Palio Attractive 1.0 8V (Flex) manual,"R$ 31.990,00","Caldas Novas, GO",2012/2013,127.574 Km
Volkswagen Gol,Gol 1.6 (G5) (Flex) manual,"R$ 31.990,00","São José dos Campos, SP",2011/2012,184.022 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 31.990,00","São Paulo, SP",2011/2012,142.147 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 31.990,00","Campinas, SP",2011/2012,111.000 Km
Fiat Uno,Uno Sporting 1.4 8V (Flex) 2p manual,"R$ 31.990,00","Rio Verde, GO",2012/2012,98.280 Km
Ford Focus Sedan,Focus Sedan GLX 2.0 16V (Flex) manual,"R$ 31.990,00","São Leopoldo, RS",2011/2012,227.371 Km
Chevrolet Agile,Agile LT 1.4 8V (Flex) manual,"R$ 31.990,00","São Paulo, SP",2011/2012,69.000 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 2p manual,"R$ 31.990,00","São Paulo, SP",2010/2011,146.000 Km
Volkswagen Polo,Polo Hatch 1.6 VHT Total Flex manual,"R$ 31.990,00","Campinas, SP",2010/2011,185.000 Km
Citroën C3,C3 Exclusive 1.6 16V (Flex)(aut) automático,"R$ 31.990,00","Campinas, SP",2011/2011,149.000 Km
Kia Picanto,Picanto EX 1.0 (Aut) automático,"R$ 31.990,00","Campinas, SP",2010/2011,150.000 Km
Fiat Palio,Palio ELX 1.4 (Flex) manual,"R$ 31.990,00","Rio de Janeiro, RJ",2010/2010,132.655 Km
Fiat Punto,Punto ELX 1.4 (Flex) manual,"R$ 31.990,00","Avaré, SP",2010/2010,205.000 Km
Chevrolet Agile,Agile LTZ 1.4 8V (Flex) manual,"R$ 31.990,00","Hortolândia, SP",2010/2010,158.321 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) 2p manual,"R$ 31.990,00","Taubaté, SP",2009/2009,132.000 Km
Chevrolet Zafira,Zafira Expression 2.0 (Flex) (Aut) automático,"R$ 31.990,00","Piracicaba, SP",2008/2009,289.685 Km
Volkswagen CrossFox,CrossFox 1.6 (Flex) manual,"R$ 31.990,00","Campinas, SP",2007/2008,215.000 Km
Honda Fit,Fit EX 1.5 16V (aut) automático,"R$ 31.990,00","São Paulo, SP",2005/2006,237.000 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 32.000,00","Taboão da Serra, SP",2013/2014,104.987 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 32.000,00","Matão, SP",2013/2014,99.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 32.000,00","Brasília, DF",2012/2013,124.000 Km
Volkswagen Gol,Gol 1.0 8V Série 25 anos (Flex) 4p manual,"R$ 32.000,00","São Paulo, SP",2013/2013,89.454 Km
Fiat Linea,Linea Essence 1.8 16V (Flex) manual,"R$ 32.000,00","São Paulo, SP",2011/2012,89.200 Km
