Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado,Classificação,Preço Predito
Fiat,Mobi,Mobi Evo Like 1.0 (Flex),50900,2019,56717,Manual,Manaus,AM,Mediano,50900.0
Renault,Kwid,Kwid Zen 1.0 12v SCe (Flex),50900,2019,50000,Manual,Lages,SC,Mediano,49930.0
Renault,Kwid,Kwid Zen 1.0 12v SCe (Flex),50900,2018,63000,Manual,Jaraguá do Sul,SC,Mediano,50900.0
Volkswagen,Gol,Gol 1.0 MPI (Flex),50900,2018,62000,Manual,Fortaleza,CE,Mediano,50900.0
Chevrolet,Prisma,Prisma 1.0 SPE/4 Eco Joy,50900,2019,85510,Manual,Vila Velha,ES,Barato,50900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2018,79800,Manual,Curitiba,PR,Barato,50900.0
Ford,Ka,Ka 1.0 SE (Flex),50900,2018,1000,Manual,São João de Meriti,RJ,Mediano,49900.0
Volkswagen,Voyage,Voyage 1.6 MSI (Flex),50900,2018,200,Manual,São João de Meriti,RJ,Mediano,49949.5
Volkswagen,Gol,Gol 1.0 MPI (Flex),50900,2019,79279,Manual,Rio de Janeiro,RJ,Barato,50900.0
Volkswagen,Gol,Gol 1.6 MSI (Flex),50900,2018,0,Manual,Sete Lagoas,MG,Mediano,50900.0
Renault,Sandero Stepway,Sandero Stepway Expression 1.6 16V SCe (Flex),50900,2018,200,Manual,Nova Iguaçu,RJ,Mediano,50900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2019,57000,Manual,Guarulhos,SP,Mediano,50900.0
Volkswagen,Gol,Gol 1.0 MPI (Flex),50900,2018,76773,Manual,Maringá,PR,Mediano,50900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2018,67000,Manual,Curitiba,PR,Mediano,50900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2017,75500,Manual,São José,SC,Mediano,50900.0
Chevrolet,Prisma,Prisma 1.0 Joy SPE/4,50900,2018,68641,Manual,Guarulhos,SP,Mediano,50900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2017,79000,Manual,Rio Brilhante,MS,Barato,50900.0
Volkswagen,Fox,Fox 1.6 MSI Comfortline I-Motion (Flex),50900,2017,65945,Automático,Rio das Ostras,RJ,Mediano,50900.0
Fiat,Grand Siena,Grand Siena Evo Attractive 1.4 8V (Flex),50900,2017,68960,Manual,Aparecida de Goiânia,GO,Mediano,48900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2018,48000,Manual,Goiânia,GO,Mediano,49900.0
Chevrolet,Prisma,Prisma 1.0 Joy SPE/4,50900,2017,54783,Manual,Manaus,AM,Mediano,46900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2018,109650,Manual,São Paulo,SP,Barato,50900.0
Chevrolet,Prisma,Prisma 1.0 Joy SPE/4,50900,2018,93000,Manual,Fortaleza,CE,Barato,52490.0
Volkswagen,Up!,Up! 1.0 12v E-Flex take up! 4p,50900,2017,57464,Manual,São Paulo,SP,Mediano,50900.0
Ford,New Fiesta Hatch,New Fiesta SEL 1.6 16V PowerShift,50900,2017,60051,Automático,Fortaleza,CE,Mediano,50900.0
Volkswagen,Gol,Gol 1.6 MSI Comfortline (Flex),50900,2016,40000,Manual,São Paulo,SP,Mediano,50900.0
Citroën,C3,C3 Tendance Puretech 1.2 12V (Flex),50900,2017,45000,Manual,Campinas,SP,Mediano,50900.0
Ford,New Fiesta Hatch,New Fiesta SE 1.6 16V,50900,2016,117672,Manual,São Paulo,SP,Barato,50900.0
Hyundai,HB20,HB20 1.0 Comfort Plus,50900,2017,94000,Manual,Cotia,SP,Barato,50900.0
Chevrolet,Onix,Onix 1.0 LT SPE/4,50900,2016,123456,Manual,Joinville,SC,Barato,44890.0
