Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado
Ford,Ka,Ka Class 1.6 (Flex),23990,2009,143283,Manual,Mogi das Cruzes,SP
Chevrolet,Corsa Sedan,Corsa Sedan 1.0 8V,23990,2003,140000,Manual,Campinas,SP
Fiat,Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p,24000,2009,111000,Manual,São Sebastião do Paraíso,MG
Citroën,C3,C3 GLX 1.4 8V (flex),24390,2010,173000,Manual,São Paulo,SP
Renault,Sandero,Sandero Expression 1.0 16V (flex),24390,2009,155000,Manual,São Paulo,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),24400,2007,150000,Manual,Osasco,SP
Ford,Ka,Ka 1.0 (Flex),24500,2011,89000,Manual,Rio Branco,AC
Citroën,C3,C3 GLX 1.4 8V (flex),24790,2009,134000,Manual,Osasco,SP
Chevrolet,Prisma,Prisma Joy 1.4 (Flex),24790,2006,181000,Manual,Santo André,SP
Citroën,C3,C3 Exclusive 1.4 8V (flex),24889,2008,133000,Manual,São Paulo,SP
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24890,2008,103835,Manual,Curitiba,PR
Jac,J2,J2 1.4 16V VVT,24900,2013,98000,Manual,Mogi das Cruzes,SP
Renault,Clio,Clio Expression 1.0 16V (Flex),24900,2012,80000,Manual,São Paulo,SP
Ford,Ka,Ka 1.0 (Flex),24900,2012,61000,Manual,São Paulo,SP
Peugeot,207 SW,207 SW XR 1.4 8V (flex),24900,2011,157702,Manual,Fazenda Rio Grande,PR
Ford,Ka,Ka 1.0 (Flex),24900,2011,58000,Manual,Fortaleza,CE
Ford,Ka,Ka 1.0 (Flex),24900,2012,205000,Manual,Campinas,SP
Peugeot,207 SW,207 SW XR 1.4 8V (flex),24900,2011,130080,Manual,Campinas,SP
Fiat,Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p,24900,2011,136388,Manual,Curitiba,PR
Chevrolet,Celta,Celta LS 1.0 (Flex) 4p,24900,2012,107000,Manual,Manaus,AM
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,24900,2011,103009,Manual,Curitiba,PR
Volkswagen,Gol,Gol 1.0 (G5) (Flex),24900,2010,90000,Manual,Manaus,AM
Fiat,Siena,Siena Fire 1.0 8V (Flex),24900,2009,153000,Manual,São Paulo,SP
Renault,Logan,Logan Expression 1.6 8V Hi-Torque (flex),24900,2008,167150,Manual,São José do Rio Preto,SP
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24900,2008,149000,Manual,São José dos Pinhais,PR
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24900,2008,149000,Manual,Joinville,SC
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24900,2008,148000,Manual,Taubaté,SP
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),24900,2008,130000,Manual,São Paulo,SP
Renault,Sandero,Sandero Expression 1.6 8V (flex),24900,2008,127600,Manual,Joinville,SC
Citroën,C3,C3 XTR 1.6 16V (flex),24900,2006,175000,Manual,Mogi Guaçu,SP
Volkswagen,Fox,Fox Plus 1.6 8V (Flex),24900,2004,180000,Manual,Valinhos,SP
Renault,Sandero,Sandero Authentique 1.0 16V (flex),24980,2012,120000,Manual,Campinas,SP
Ford,Ka,Ka 1.0 (Flex),24990,2013,81334,Manual,São Paulo,SP
Ford,Ka,Ka 1.0 (Flex),24990,2013,81334,Manual,São Paulo,SP
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,24990,2013,155000,Manual,Brasília,DF
Ford,Ka,Ka 1.0 (Flex),24990,2011,158000,Manual,Campinas,SP
Volkswagen,Gol,Gol 1.0 (G4) (Flex) 4p,24990,2010,223000,Manual,Botucatu,SP
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),24990,2009,165000,Manual,Curitiba,PR
Ford,Ka,Ka 1.6 (Flex),24990,2008,141718,Manual,Porto Alegre,RS
Volkswagen,Fox,Fox Plus 1.0 8V (Flex),24990,2007,163000,Manual,São Paulo,SP
Volkswagen,Polo Sedan,Polo Sedan 1.6 8V,24990,2004,135100,Manual,Campinas,SP
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),24996,2010,98000,Manual,Curitiba,PR
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,25000,2012,180000,Manual,Araçatuba,SP
Ford,Ka,Ka 1.0 (Flex),25000,2011,104000,Manual,Aracaju,SE
Ford,Fiesta Sedan,Fiesta Sedan 1.0 (Flex),25000,2009,92000,Manual,Iguatu,CE
Ford,Fiesta Sedan,Fiesta Sedan Class 1.6 (Flex),25000,2009,205000,Manual,Indaiatuba,SP
Chevrolet,Prisma,Prisma Joy 1.4 (Flex),25000,2008,169565,Manual,Botucatu,SP
Ford,Ka,Ka 1.0 (Flex),25300,2012,105000,Manual,Osasco,SP
Volkswagen,Gol,Gol 1.0 (G5) (Flex),25490,2009,130000,Manual,Jaú,SP
Fiat,Palio,Palio ELX 1.4 (Flex),25490,2006,194000,Manual,São José dos Campos,SP
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25500,2010,123000,Manual,Natal,RN
Ford,Focus Hatch,Focus Hatch GL 1.6 8V (Flex),25500,2008,131000,Manual,Suzano,SP
Ford,EcoSport,Ecosport XL 1.6 (Flex),25500,2006,178128,Manual,Guarapuava,PR
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,25800,2011,146000,Manual,Presidente Venceslau,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),25890,2011,222548,Manual,São Paulo,SP
Renault,Sandero,Sandero Expression 1.6 8V (flex),25890,2010,129000,Manual,Belo Horizonte,MG
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),25890,2009,124187,Manual,São Paulo,SP
Fiat,Palio,Palio Fire 1.0 8V (Flex) 2p,25900,2014,120908,Manual,Curitiba,PR
Renault,Clio,Clio Authentique 1.0 16V (Flex) 4p,25900,2014,98000,Manual,Colombo,PR
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,25900,2013,171000,Manual,Jundiaí,SP
Peugeot,207,207 Hatch XR Sport 1.4 8V (flex),25900,2012,117000,Manual,São Paulo,SP
Ford,Ka,Ka 1.0 (Flex),25900,2012,88000,Manual,Cascavel,PR
Ford,Ka,Ka 1.0 (Flex),25900,2012,105750,Manual,São Paulo,SP
Jac,J3,J3 1.4,25900,2012,85000,Manual,Jaú,SP
Ford,Ka,Ka 1.0 (Flex),25900,2012,133000,Manual,São José dos Campos,SP
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2012,125100,Manual,São Gonçalo,RJ
Ford,Ka,Ka 1.0 (Flex),25900,2012,118378,Manual,Ponta Grossa,PR
Ford,Ka,Ka 1.0 (Flex),25900,2012,100000,Manual,Mogi das Cruzes,SP
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2012,89000,Manual,São João de Meriti,RJ
Renault,Logan,Logan Expression 1.0 16V (flex),25900,2011,129000,Manual,Aparecida de Goiânia,GO
Jac,J6,J6 2.0 16V,25900,2011,118000,Manual,Sorocaba,SP
Renault,Logan,Logan Expression 1.6 8V Hi-Torque (flex),25900,2012,152000,Manual,São João de Meriti,RJ
Ford,Ka,Ka 1.0 (Flex),25900,2011,99000,Manual,Natal,RN
Ford,Ka,Ka 1.0 (Flex),25900,2012,132000,Manual,Brasília,DF
Peugeot,207 Sedan,207 Passion XS 1.6 16V (flex),25900,2011,110000,Manual,São Paulo,SP
Renault,Sandero,Sandero Authentique 1.0 16V (flex),25900,2012,150000,Manual,Curitiba,PR
Renault,Logan,Logan Expression 1.6 8V Hi-Torque (flex),25900,2012,164000,Manual,Curitiba,PR
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2011,81500,Manual,Avaré,SP
Chevrolet,Celta,Celta LT 1.0 (Flex),25900,2012,87000,Manual,São João de Meriti,RJ
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2011,149428,Manual,São Paulo,SP
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2011,93000,Manual,Carapicuíba,SP
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2011,300,Manual,Curitiba,PR
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,188000,Manual,São Paulo,SP
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,121000,Manual,Pinhais,PR
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,130200,Manual,São Paulo,SP
Volkswagen,Gol,Gol 1.0 (G5) (Flex),25900,2011,150000,Manual,São Paulo,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2010,187413,Manual,São Paulo,SP
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2010,159420,Manual,Osasco,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2010,127000,Manual,Campinas,SP
Peugeot,207,207 Hatch XS 1.6 16V (flex),25900,2011,139000,Manual,São Leopoldo,RS
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2011,102000,Manual,São Mateus do Sul,PR
Fiat,Siena,Siena EL 1.0 8V (Flex),25900,2010,161000,Manual,Rio das Ostras,RJ
Volkswagen,Gol,Gol 1.0 (G5) (Flex),25900,2010,140000,Manual,Araruama,RJ
Renault,Symbol,Symbol 1.6 8V Expression Hi-Torque (flex),25900,2011,103000,Manual,São Paulo,SP
Ford,Fiesta Sedan,Fiesta Sedan 1.6 (Flex),25900,2010,106000,Manual,Nova Friburgo,RJ
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2009,149000,Manual,Curitiba,PR
Chevrolet,Meriva,Meriva Joy 1.4 (Flex),25900,2009,180000,Manual,Resende,RJ
Fiat,Siena,Siena EL 1.0 8V (Flex),25900,2010,150000,Manual,Mogi Mirim,SP
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,25900,2009,120010,Manual,Diadema,SP
Ford,Fiesta Hatch,Fiesta Hatch Trail 1.0 (Flex),25900,2010,142950,Manual,Belo Horizonte,MG
Citroën,C3,C3 GLX 1.4 8V (flex),25900,2009,118000,Manual,São Gonçalo,RJ
Ford,Ka,Ka 1.6 (Flex),25900,2009,86000,Manual,Várzea Paulista,SP
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,142950,Manual,Belo Horizonte,MG
